proteinID	geneID	uniprot	protein_name	gene_name
B4141-MONOMER	G7833	P39277	L-methionine/branched chain amino acid exporter	YjeH
MONOMER-20486	G-58275	I0IVN0	<i>N</i>-(3-aminopropyl)hydroxylamine <i>N</i>-acyltransferase	AcbD
MONOMER-12740	G-2006	Q46982	2-hydroxyhepta-2,4-dienedioate hydratase monomer	HpaH, HpcG
HS02883-MONOMER	HS02883	Q2M3T9	hyaluronidase-4	hyal-4, hyaluronoglucosaminidase-4
MONOMER-942	G-814	O07454	AliA	AliA
MONOMER-20878	G-80441	Q9I0V2		PtaA
MONOMER-15768	G-12111	O26061	flavin-dependent thymidylate synthase subunit	ThyX
MONOMER-13226	G-10067	Q05632	cobalt-precorrin-6B (<i>C</i><sup>15</sup>)-methyltransferase [decarboxylating] monomer	CbiT
7-ALPHA-HYDROXYSTEROID-DEH-MONOMER	EG10425	P0AET8	7-&alpha;-hydroxysteroid dehydrogenase	HdhA, Hsd, HsdH
NIRD-MONOMER	EG10655	P0A9I8	nitrite reductase subunit NirD	NirD, nitrite reductase small subunit
MONOMER-16194			<i>N</i>-acetylhexosamine 1-dehydrogenase monomer	
AT1G74380-MONOMER	AT1G74380	Q9CA75	xyloglucan 6-xylosyltransferase 5	
MONOMER-18859	G-34567	G0ZEV2		NirF
HS07712-MONOMER	HS07712	Q8NFU5	inositol 1,3,4,6-tetrakisphosphate 5-kinase	
EG11008-MONOMER	EG11008	P0A855	Tol-Pal system periplasmic protein TolB	Lky, LkyA
MONOMER-21296	G-80815	K7NBW3	mogroside IE synthase	
MONOMER-19253	G-43964	F8G0N8	3-succinoylpyridine monooxygenase ferredoxin subunit	SpmC
MONOMER-13675	G-10435	Q0QLF7	6-hydroxynicotinate reductase subunit	Hnr
LINAPSEPA-MONOMER	G-257	P51697	chlorocyclohexene dehydrochlorinase	LinA
ENSG00000092068-MONOMER	HS01756	Q9UHI5	large neutral amino acids transporter small subunit 2	hLAT2, L-type amino acid transporter 2, solute carrier family 7 member 8
SM_B21690-MONOMER	SM_B21690	P33702	glucosyltransferase ExoW	ExoW
MONOMER-21674	G-107423	Q6N3Y0	arsenite methyltransferase	ArsM
MONOMER-16670	G-14526	Q3T552	endo-&alpha;-N-acetylgalactosaminidase	
MONOMER-14182				cinnamoyl-CoA reductase, CCR
AT4G04610-MONOMER	AT4G04610	P92979	APR1	
VC1457-MONOMER	VC1457	P01555	cholera toxin, A subunit	ToxA, CtxA, VC1457
MONOMER-17175	G-14967	D5KB55		HmfE
MONOMER-19662	G-44364	A0A097SRH9	biphenyl 2,3-dioxygenase &alpha; subunit	
MONOMER-11589	G-9025		5-aminolevulinate synthase subunit	HemA
G6622-MONOMER	G6622	P0C960	lytic murein transglycosylase E	YcgP, SltZ, EmtA, MltE
G185E-5513-MONOMER	G185E-5513	P9WHS1	[CysO sulfur-carrier protein]-<i>S</i>-L-cysteine hydrolase	Mec
MONOMER-3824	G-2883	Q49136	phosphoenolpyruvate carboxylase subunit	PpcA
MONOMER-20044	G-44744	A0A0H4K9X4	lytic cellulose monooxygenase	
MONOMER-14652	G-11214	Q9TRC7	diamine oxidase subunit	
MONOMER-12172	G-9411	P29564	uroporphyrinogen-III <i>C</i>-methyltransferase subunit	CorA
YOL143C-MONOMER	YOL143C	P50861	6,7-dimethyl-8-ribityllumazine synthase monomer	
MONOMER-622	G-155	P78008		MtlD
MONOMER-17612				
MONOMER-15243	G-11670	Q47945	alcohol dehydrogenase cytochrome c subunit	AdhB
MONOMER-18053	G-16048	Q9L9F2	demethyldecarbamoyl novobiocin <i>O</i>-methyltransferase	NovP
GLYCOGEN-BRANCH-MONOMER	EG10378	P07762		GlgB
B0070-MONOMER	EG11754	P31675		SetA, YabM
MONOMER-20469	G-58258	A0A0D5YGN3	pre-acinetobactin synthase	BasB
MONOMER-12713	G-9747		BAS subunit	
HS02602-MONOMER	HS02602	P00390	glutathione reductase subunit	
MONOMER-926	G-809	Q59760		BadA
MONOMER-20861	G-80424	I6W7X8	methyl parathion hydrolase	Mpd
MONOMER-15747			xanthine oxidase 71 kDa subunit	
MONOMER-13210			L-sorbose/L-sorbosone dehydrogenase 62.5 kD subunit	
2-OCTAPRENYL-METHOXY-BENZOQ-METH-MONOMER	EG11473	P0A887	bifunctional 2-octaprenyl-6-methoxy-1,4-benzoquinol methylase and demethylmenaquinone methyltransferase	YigO, UbiE, bifunctional 2-octaprenyl-6-methoxy-1,4-benzoquinol methylase and S-adenosylmethionine:2-DMK methyltransferase, bifunctional 2-octaprenyl-6-methoxy-1,4-benzoquinone methylase/ S-adenosylmethionine:2-DMK methyltransferase
NICOTINATEPRIBOSYLTRANS-MONOMER	EG10742	P18133		PncB
MONOMER-18448	G-17937	B9TTF4	polymyxin synthetase B subunit	PmxB, polymyxin synthetase B protein
MONOMER-16173	G-12475	Q2RI40	oxalate oxidoreductase &gamma; subunit	
CMR-MONOMER	G6440	P0AEY8	multidrug efflux pump MdfA / Na<sup>+</sup>:H<sup>+</sup> antiporter / K<sup>+</sup>:H<sup>+</sup> antiporter	CmlA, Cmr, MdfA
AT1G68890-MONOMER	AT1G68890	Q15KI9	PHYLLO [multifunctional]	
MONOMER-18844	G-34552	Q4WLW6	fumiquinazoline C oxidase	
HS07548-MONOMER	HS07548	P00367	Glutamate dehydrogenase 1, mitochondrial	GDH
EG10942-MONOMER	EG10942	P14081	selenocysteyl-tRNA-specific translation elongation factor	FdhA, SelB
MONOMER-21279	G-80795	Q51326	CoxD sulfurtransferase monomer	CoxD
MONOMER-13649	G-10405	Q58130	3-isopropylmalate dehydrogenase subunit	
KETOLREDUCTOISOM-MONOMER	EG10495	P05793	ketol-acid reductoisomerase (NADP<sup>+</sup>)	IlvC
SI859A1_02124-MONOMER	SI859A1_02124	Q1YMS2	manganese-oxidizing peroxidase	MopA, hemolysin-type calcium-binding peroxidase
MONOMER-21656	G-81174	Q45XG3	dTDP-L-rhamnose:&alpha;-D-GlcNAc-PP-Und &beta;-(1,4)-rhamnosyltransferase	WbuV
MONOMER-16651	G-14509	G0L322	&beta;-agarase A	AgaA
MONOMER-14161				
AT3G62410-MONOMER	AT3G62410	Q9LZP9	CP12 subunit	
URACIL-PRIBOSYLTRANS-MONOMER	EG11332	P0A8F0	uracil phosphoribosyltransferase	UraP, Upp
MONOMER-19240	G-43952	K0E3U5	leucine 5-hydroxylase	
MONOMER-17159	G-14951	F8G0M4	6-hydroxy-3-succinoyl-pyridine hydroxylase monomer	HspB
ENSG00000073578-MONOMER	HS01106	P31040	succinate dehydrogenase [ubiquinone] flavoprotein subunit	succinate dehydrogenase complex, subunit A, succinate dehydrogenase complex flavoprotein subunit
MONOMER-19628	G-44330	Q7TXL8	phthiocerol synthase PpsC PKS	PpsC
MONOMER-11568			aminobutyraldehyde dehydrogenase subunit	
G66-32545-MONOMER	G66-32545	P0C870	peptidyl-lysine 3-dioxygenase JMJD7 monomer	JMJD7_HUMAN, Jumonji domain-containing protein 7, JmjC domain-containing protein 7
G185E-5327-MONOMER	G185E-5327	P9WN01	phosphatidylinositol tetramannoside &alpha;-(1-2)-mannosyltransferase	PimE
MONOMER-3664	G-2724		sulfoacetaldehyde acetyltransferase subunit	Xsc
MONOMER-2003	G-1383	Q58409	homoaconitase &alpha; subunit	HacA, AksD
MONOMER-14627	G-11193	Q53479	dimethylallyltranstransferase monomer	IdsA
MONOMER-12145	G-9395	Q42435	capsanthin-capsorubin synthase	&kappa;-cyclase
YNL202W-MONOMER	YNL202W	P32573	2,4-dienoyl-CoA reductase	
MONOMER-6103				
MONOMER-17597	G-15316	A9IE89	L-threonine 4-hydroxylase	Tdo
MONOMER-15209	G-11638			DesB
MONOMER-18032	G1G01-1344	Q88NF4	&Delta;<sup>1</sup>-pyrroline-4-hydroxy-2-carboxylate deaminase subunit	LhpC
GLUTAMINA-MONOMER	GCQD-622		glutaminase A monomer	YbaS, glutaminase
ATOS-MONOMER	EG11667	Q06067	sensor histidine kinase AtoS	AtoS
MONOMER-20453	G-58241	Q57658	aspartate-semialdehyde dehydrogenase monomer	Asd
MONOMER-12684	G-9732	Q8GSN1	myricetin <i>O</i>-methyltransferase	
HS02296-MONOMER	HS02296	O43148	mRNA cap guanine-N7 methyltransferase	hcm1p, hCMT1, hMet, mRNA (guanine-N(7)-)-methyltransferase, mRNA cap methyltransferase, RG7MT1
MONOMER-9103			fructose-1,6-biphosphate aldolase	
MONOMER-20845	G-80407	A0A2R4BR37	phenylphosphate carboxylase &gamma; subunit	
MONOMER-15730	G-12086	B1N7G9	quinohaemoprotein amine dehydrogenase &beta; subunit	PeaD
MONOMER-13194	G-10039	Q8NK50	D-mannitol 2-dehydrogenase	
NAPH-MONOMER	EG12062	P33934	ferredoxin-type protein NapH	YejZ, NapH
MONOMER-18432	G-17924	D7F5L7	tyramine oxidase subunit B	TynB
MONOMER-16144	G-12445	Q9X0V7	mannosylglucosylglycerate synthase	MggS
CHRECP057-MONOMER	CHRECP057	P07753	Photosystem Q(B) protein	PsbA, Photosystem II protein D1, 32 kDa thylakoid membrane protein
AT1G66200-MONOMER	AT1G66200		glutamine synthetase	
MONOMER-18829	G-34537	Q5W246	L-proline--[PigG peptidyl-carrier protein] ligase	PigI
HS07410-MONOMER	HS07410	P60891	Ribose-phosphate pyrophosphokinase 1	Phosphoribosyl pyrophosphate synthetase I, PPRibP, PRS-I
EG10912-MONOMER	EG10912	P0A7S9	30S ribosomal subunit protein S13	RpsM
MONOMER-21262	G-80781	A0A0C2WKN7	3,<i>N</i><sup>5</sup>-dihydroxy-L-glutamine dehydratase	
MONOMER-13634	G-12154	O74699		
IMP-DEHYDROG-MONOMER	EG10421	P0ADG7	inosine 5'-monophosphate dehydrogenase	GuaR, GuaB
SDH-FLAVO	EG10931	P0AC41	succinate:quinone oxidoreductase, FAD binding protein	DhsA, SdhA
MONOMER-21640			xanthommatin reductase	
MONOMER-16628	G-14486	A5JV19		zeaxanthin epoxidase, chloroplastic
MONOMER-14142	G-10806			
AT3G55440-MONOMER	AT3G55440	P48491	cytosolic triose-phosphate isomerase	
UDPMANACATRANS-MONOMER	EG11458	P27836		Rff, RffM, WecG
MONOMER-19224			disulfoglucosamine-6-sulfatase	
MONOMER-17131			(-)-bornyl diphosphate hydrolase	
ENSG00000012817-MONOMER	HS00337	Q9BY66	lysine-specific demethylase 5D	H-Y, histocompatibility Y antigen, histone demethylase JARID1D, Jumonji/ARID domain-containing protein 1D, protein SmcY
MONOMER-19606	G-44308	Q333V1	3-hydroxy-quinaldate carrier protein	TioO
MONOMER-11551	G-9004	Q59157	nopaline oxidase subunit B	NoxB
G6561-MONOMER	G6561	P0AF16	lipid II flippase MurJ	YceN, MviN, MurJ
G185E-4787-MONOMER	G185E-4787	Q79FX6	methoxy mycolic acid synthase 2	MmaA2
MONOMER-3543	G-2603	Q9WZ09	tryptophan synthase &beta;2 subunit	TrpB2, Trp &beta;2, tmTrpB2
MONOMER-14608	G-11175	P16440	riboflavin synthase monomer	RibE
MONOMER-12108				glutamic-aspartic transaminase
YMR217W-MONOMER	YMR217W	P38625	GMP synthase monomer	
MONOMER-602	G-153	P75359		Pta
MONOMER-17579	G-15299	A2SY66		
MONOMER-15165	G-11602	Q84KS8		
MONOMER-20018	G-44718	Q8CYN0	type IV lipoteichoic acid polymerase	
MONOMER-18013	G-16005		2-oxo-&Delta;<sup>3</sup>-4,5,5-trimethylcyclopentenyl acetyl coA synthase subunit A	
GLU6PDEHYDROG-MONOMER	EG11221	P0AC53		Zwf, G6PDH
G3O-31543-MONOMER	G3O-31543	P09880	tRNA ligase	
ATCG00270-MONOMER	ATCG00270	P56761	Photosystem II D2 protein	PsbD, Photosystem Q(A) protein
MONOMER-20429	G-58217	A1AST5	nicotinate-nucleotide--5-hydroxybenzimidazole phosphoribosyltransferase	CobT
MONOMER-12659	G-9720	O59654	Ech hydrogenase 20 kDa subunit	EchC
HS02092-MONOMER	HS02092	O14744	protein arginine <i>N</i>-methyltransferase 5	72 kDa ICln-binding protein, Histone-arginine N-methyltransferase PRMT5, Jak-binding protein 1, Shk1 kinase-binding protein 1 homolog, SKB1Hs
MONOMER-8962			UDP-galactose 4-epimerase	UDP-glucose 4-epimerase
MONOMER-20828	G-63085	D4GSS5	cysteine-dependent adenosine diphosphate thiazole synthase	
MONOMER-15714	G-12071	Q9A7T5	lactose 3-dehydrogenase &gamma; subunit	LacC
MONOMER-13172	G-10018	P53704	glucosamine-6-phosphate synthase subunit	
NACMURLALAAMI1-MONOMER	EG11823	P36548	<i>N</i>-acetylmuramoyl-L-alanine amidase A	YfeE, AmiA
MONOMER-18415	G-17912	Q75PL7	acyl-CoA 11-desaturase/conjugase	acyl-CoA <i>Z</i>11 / &Delta;10,12 desaturase
MONOMER-16128	G-12432	P21334	phytoene desaturase (3,4-didehydrolycopene-forming)	albino-1 protein
CHRECP001-MONOMER	CHRECP001	P23577	apocytochrome f	PetA
AT1G62540-MONOMER	AT1G62540	Q94K43	glucosinolate <i>S</i>-oxygenase 2	
MONOMER-18813	G-34521	Q2RJ83	MetV	
HS07123-MONOMER	HS07123	Q8NEY4	H<sup>+</sup>-translocating V-ATPase subunit C2	V-ATPase subunit C 2, Vacuolar proton pump subunit C 2, V-type proton ATPase subunit C 2
EG10890-MONOMER	EG10890	P0A7N4	50S ribosomal subunit protein L32	RpmF
MONOMER-21246	G-80763	A0A0H2XAN5	2-methoxy-6-(<i>all-trans</i>-polyprenyl)phenol 4-hydroxylase	UbiH
MONOMER-13616	G-10381	A2IBI0	hyoscyamine 6&beta;-hydroxylase	
HYBA-MONOMER	EG11799	P0AAJ8	hydrogenase 2 iron-sulfur protein	HydL, HybA
SCO5882-MONOMER	SCO5882		4-hydroxy-2,2'-bipyrrole-5-methanol dehydrogenase	RedV
MONOMER-21622	G-81143	A0A0A8J3T6	<i>Escherichia coli</i> O:51 antigen polymerase monomer	
MONOMER-16609			xyloglucan-specific endo-&beta;-1,4-glucanase	
MONOMER-14119	G-10791			leucine aminopeptidase acidic 2, LAP-A
AT3G51160-MONOMER	AT3G51160	P93031	GDP-mannose 4,6-dehydratase subunit	
TX72_RS11590-MONOMER	TX72_RS11590	Q7U3X8	ferredoxin-quinone oxidoreductase subunit H	NdhH
MONOMER-19208	G-43927	I6WHP7	[trehalose-6-phosphate synthase]-L-cysteine S-methyltransferase	
MONOMER-17109	G-14910	Q5XVM9		Lpa
EG50001-MONOMER	EG50001	P0AG48	50S ribosomal subunit protein L21	RplU
MONOMER-19590	G-44292	D2KTX9	&beta;-hydroxy-L-tryptophan 2,3-dioxygenase	
MONOMER-11525	G-8984	P80358	arginine succinyltransferase &beta; subunit	AruG
G6503-MONOMER	G6503	P0ACZ2	phosphotyrosine-protein phosphatase Etp	Etp, YccY
G185E-4418-MONOMER	G185E-4418	O53699	trehalose 2-sulfotransferase	
MONOMER-3467	G-2546	O87170	2-pyrone-4,6-dicarboxylate hydrolase	LigI, 2-pyrone-4,6-dicarboxylate hydrolase
MONOMER-14588	G-11157	Q9L8R8	<i>N</i>-acyl homoserine lactone lactonase	AiiA
MONOMER-12074	G-9347	Q8P8J5	acetylcitrulline deacetylase subunit	ArgE
YMR006C-MONOMER	YMR006C	Q03674	phospholipase B/lyso-phospholipase	
MONOMER-5921			fatty acid-&beta;-glucosyltransferase	
MONOMER-17563			taxiphyllin glucosidase	
MONOMER-15146	G-11585	Q83WG2		
MONOMER-20001	G-44701	Q2G1T6	UTP--glucose-1-phosphate uridylyltransferase	GtaB
MONOMER-17999			anthocyanidin 3-<i>O</i>-glucoside-6"-<i>O</i>-malyltransferase	
GIO2-991-MONOMER	GIO2-991	A8IZZ9	phosphate acetyltransferase	phosphotransacetylase, Cre09.g396650.t1.1
G3O-30560-MONOMER	G3O-30560	P53177	tRNA wybutosine-synthesizing protein 3	tRNA<sup>Phe</sup>[7-[(3<i>S</i>)-(3-amino-3-carboxypropyl)-4-demethyl]wyosine-<i>N</i><sup>4</sup>]-methyltransferase
AT5G63510-MONOMER	AT5G63510	Q9FMV1	NADH-ubiquinone oxidoreductase subunit	
MONOMER-20413	G-58201	A0A1L1VVZ0	L-tryptophan isonitrile synthase 1	
MONOMER-12644	G-9706	Q84HQ2	sucrose phosphorylase subunit	SucP
HS01908-MONOMER	HS01908	P17568	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 7	Cell adhesion protein SQM1, CI-B18, Complex I-B18, NADH-ubiquinone oxidoreductase B18 subunit
MONOMER-8862	G-6819		HPPK/DHPS subunit	
MONOMER-15698	G-12057	P60069	chlorate reductase &beta; subunit	ClrB, chlorate reductase iron-sulfur subunit
MONOMER-13149	G-10002	Q988B9	4-pyridoxolactonase subunit	
MTR.40725.1.S1_AT-MONOMER	MTR.40725.1.S1_AT		mannose-6-phosphate isomerase	
MONOMER-18400	G-17897	Q0ZQ41		FrbH
MONOMER-16109	G-12418		HIV-2 retropepsin	
CHLREDRAFT_185533-MONOMER	CHLREDRAFT_185533	A8JCU4	Chlorophyll a-b binding protein of LHCII	
AT1G55670-MONOMER	AT1G55670	Q9S7N7	Photosystem I reaction center subunit V	PSI-G
MONOMER-20814	G-63074	Q6VT95	PedF non-ribosomal peptide synthase/polyketide synthase	PedF
MONOMER-18797	G-34505	Q58186	4-(&beta;-D-ribofuranosyl)hydroxybenzene 5'-phosphate--L-aspartate ligase	
HS06945-MONOMER	HS06945	Q9ULC6	peptidylarginine deiminase I	
EG10873-MONOMER	EG10873	P0A7K2	50S ribosomal subunit protein L12	RplL, 50S ribosomal subunit protein L7/L12
MONOMER-21231	G-80748		(5<i>R</i>,7a<i>S</i>)-7a-methyl-1,5-dioxo-3,5,6,7-tetrahydro-2<i>H</i>-indene-4-carboxyl-CoA hydrolase	
MONOMER-13595	G-10366	Q5J1R2	nocardicin C-9'-epimerase	NocJ
HS16231-MONOMER	HS16231	Q8WVX9	fatty acyl-CoA reductase 1	male sterility domain-containing protein 2
SCO4636-MONOMER	SCO4636		HadA	
MONOMER-16586	G-12827			
MONOMER-14091	G-10766	Q703X2	trehalose synthase subunit	TreT
AT3G44860-MONOMER	AT3G44860	Q9FYC4	farnesoic acid carboxyl methyltransferase	
TX72_RS09430-MONOMER	TX72_RS09430	Q7U538	ferredoxin-quinone oxidoreductase subunit B	NdhB
MONOMER-19192	G-43911	Q9HY69	mannuronosyl transferase regulatory subunit	
MONOMER-17090	G-14893	A4F7N3	dTDP-4-amino-4,6-dideoxy-<small>D</small>-glucose transaminase	
EG12450-MONOMER	EG12450	P37596		YgaL, NorW, YgbD
MONOMER-21609	G-81130	U3GL25	<i>Salmonella enterica</i> O:39 antigen polymerase monomer	
MONOMER-19573	G-44275	Q12612	trichodiene oxygenase	
MONOMER-11389				
G6437-MONOMER	G6437	P75804	aldose sugar dehydrogenase YliI	YliI
G12WB-500-MONOMER	G12WB-500	Q188H7	4-methyl-2-oxopentanoate reductase	LdhA, (<i>R</i>)-2-hydroxyisocaproate 2-dehydrogenase
MONOMER-3343	G-2423		&gamma; subunit of ethylbenzene dehydrogenase	&gamma; subunit of ethylbenzene dehydrogenase, subunit c of ethylbenzene dehydrogenase, EbdC
MONOMER-14570	G-11141	Q57749	7,8-dihydropterin-6-yl-methyl-4-(&beta;-<small>D</small>-ribofuranosyl)aminobenzene 5&prime;-phosphate synthase	MptH, archaeal dihydropteroate synthase
MONOMER-12041	G-9323			HmgA, homogentisate 1,2-dioxygenase, homogentisate dioxygenase
YLR359W-MONOMER	YLR359W	Q05911	Ade13	
MONOMER-582	G-164	P75522		Rpe
MONOMER-17546	G-15265	A0FK10	nitrite reductase (NO-forming) monomer	NirK
MONOMER-15129	G-11565	P30347	LigF &beta;-etherase monomer	LigF
MONOMER-19987	G-44687	Q2G1C0	ribitol-5-phosphate cytidylyltransferase	TarI
MONOMER-17980	G-15974	Q6L732	kanamycin B dioxygenase	KacB, KanJ
GDQC-9006-MONOMER	GDQC-9006	B6SUA1	DIM<sub>2</sub>BOA-glucoside O-methyltransferase	DIM<sub>2</sub>BOA-&beta;-D-glucoside <i>O</i>-methyltransferase, Zm00001d004921_T001.1, GRMZM2G127418
G3O-29801-MONOMER	G3O-29801	Q04924	&alpha;-glucosidase II &beta; subunit	hepatocystin
AT5G57220-MONOMER	AT5G57220	Q9LVD6	glucobrassicin monooxygenase	CYP81F2 monooxygenase
MONOMER-20396	G-58184	Q108L3	L-tryptophan isonitrile synthase	IsnA
MONOMER-12619	G-9687	Q9SP61	acyl-lipid &Delta;12-conjugase	
HS01658-MONOMER	HS01658	Q14697	mannosyl-oligosaccharide &alpha;-1,3-glucosidase &alpha; subunit	&alpha;-glucosidase 2 &alpha; subunit, glucosidase II subunit &alpha;, neutral alpha-glucosidase AB &alpha; subunit, &alpha;-glucosidase 2 catalytic subunit
MONOMER-8683	G-6662	Q88VJ2	D-lactate dehydrogenase subunit	LdhD
MONOMER-15681	G-12048	P54965	bile salt hydrolase subunit	Cbh
MONOMER-13131			pyruvate-ferredoxin oxidoreductase subunit	
MONOMERQT-2771	AT5G40810	Q9FKS5	cytochrome <i>bc</i><sub>1</sub> complex cytochrome <i>c<sub>1</sub></i>-2 subunit	
MONOMER-18384	G-17883	Q54142	dTDP-3-amino-3,6-dideoxy-&alpha;-<small>D</small>-glucopyranose transaminase monomer	TylB
MONOMER-16094	G-12400	Q939Q4	dTDP-4-keto-6-deoxyhexose 5-epimerase	JadU
CHLREDRAFT_153656-MONOMER	CHLREDRAFT_153656	P12852	Oxygen-evolving enhancer protein 3	
AT1G48320-MONOMER	AT1G48320		DHNA-CoA thioesterase	1,4-dihydroxy-2-naphthoyl-CoA thioesterase, 1,4-dihydroxy-2-naphthoyl-coenzyme A thioesterase
MONOMER-20797	G-63056	B0LI38	cylindrospermopsin PKS CyrE	CyrE
MONOMER-18779	G-34486	F8WKW0	crocetin glucosyltransferase	
HS06728-MONOMER	HS06728	P05177	cytochrome P450 1A2	CYPIA2, P450-P3, P(3)450, P450 4
EG10855-MONOMER	EG10855	P0ADC1	lipopolysaccharide assembly protein LptE	LptE, RlpB
MONOMER-21216	G-80733		3-oxo-23,24-bisnorchol-4-en-22-oyl-CoA dehydrogenase &beta; subunit	
MONOMER-13578	G-10349	Q70EZ7		
HS14757-MONOMER	HS14757	P30038	&Delta;<sup>1</sup>-pyrroline-5-carboxylate dehydrogenase, mitochondrial subunit	Aldehyde dehydrogenase family 4 member A1, P5C dehydrogenase, Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial
SAICARSYN-MONOMER	EG10791	P0A7D7	phosphoribosylaminoimidazole-succinocarboxamide synthase	Ade, PurC
MONOMER-16550	G-12801	Q0P8X2	chorismate dehydratase	
MONOMER-14070				
AT3G25830-MONOMER	AT3G25830		1,8-cineole synthase	
TX72_RS06000-MONOMER	TX72_RS06000	Q7U6Y7	ferredoxin-quinone oxidoreductase subunit V	NdhV
MONOMER-19171	G-43891	B8XVS7	ethylmalonyl-CoA/methylmalonyl-CoA epimerase	Mce, Epi
MONOMER-17074	G-14877	Q194Q3	D-oliose 4-ketoreductase	MtmU
EG12357-MONOMER	EG12357	P38135	short chain acyl-CoA synthetase	FadK, YdiD
MONOMER-21593	G-81114	G3XGB3	GDP-Man:&alpha;-D-GalNAc-PP-Und &alpha;-(1,3)-mannosyltransferase	WbaY
MONOMER-19557	G-44259	E3GQB2	5-methoxy-benzimidazole C-methyltransferase	BzaD
MONOMER-11327			&beta;-pyrazole-1-ylalanine synthase	
G6356-MONOMER	G6356	P77359	co-chaperone DjlC	HscD, DjlC, YbeV, Hsc56
FUMB-MONOMER	EG10357	P14407	fumarase B	FumB
MONOMER-3222	G-2287	P32427	subunit of 3-carboxymuconate cycloisomerase	PcaB
MONOMER-14554	G-11125	Q8LBL1		At5g55630, calcium-activated outward-rectifying potassium channel 1, vacoular K+ channel
MONOMER-12019	G-9311	P48419	flavonoid 3',5'-hydroxylase	
YLR146C-MONOMER	YLR146C	Q12455	spermine synthase	
MONOMER-17524				
MONOMER-15113	G-11548	Q60FX1	vanillate/3-<i>O</i>-methylgallate <i>O</i>-demethylase	LigM
MONOMER-19970	G-44670	Q8RKJ0	ribitol-5-phosphate 1-dehydrogenase	TarJ
MONOMER-17962	G-15955	Q9WYR4	pectate trisaccharide-lyase monomer	PelA
GALPMUT-MONOMER	EG11981	P37747		YefE, Glf
G3O-29157-MONOMER	G3O-29157	P38137	oxalate--CoA ligase	acyl-activating enzyme 3, peroxisomal-coenzyme A synthetase
AT5G52570-MONOMER	AT5G52570	Q9LTG0	&beta;-ring hydroxylase	&beta;-ring carotenoid hydroxylase
MONOMER-5661	G-4301	Q9LAS5		TreS, MTSase
MONOMER-20373	G-58161	C5C799	C50 carotenoid &gamma;-cyclase &beta; subunit	CrtYh
MONOMER-12588	G-9661	Q94G70	3-oxoacyl-[acyl-carrier-protein] synthase	&beta;-ketoacyl-[acp] synthase I
HS01369-MONOMER	HS01369	P36551	Coproporphyrinogen-III oxidase, mitochondrial	
MONOMER-8602	G-6582	P71016	betaine aldehyde dehydrogenase subunit	GbsA
MONOMER-15660	G-12029	P0C1A5	pectate lyase E	PelE
MONOMER-13104	G-9983	A3CLX4	glucosamine-6-phosphate deaminase subunit	NagB
MONOMER66-43295	G66-46719	Q6B0I6	lysine-specific demethylase 4D	JmjC domain-containing histone demethylation protein 3D, Jumonji domain-containing protein 2D
MONOMER-18368	G-17867	Q49492	mycinamicin III 3''-<i>O</i>-methyltransferase	MycF
MONOMER-16078	G-12384	C6FI44	1,2,4-trihydroxybenzene 1,2-dioxygenase monomer	PnpC
CELA-MONOMER	EG10140	P69795	<I>N,N'</I>-diacetylchitobiose-specific PTS enzyme IIB component	CelA, Enzyme IIB<sup>cel</sup>, EIIB<sup>cel</sup>, EII<sup>chb</sup>, Enzyme IIB<sup>chb</sup>
AT1G32060-MONOMER	AT1G32060	P25697	chloroplastic phosphoribulokinase	
MONOMER-20781	G-63040	A0A023J9T3	ansatrienin D-alanyltransferase	AstC
MONOMER-18763	G-34472	G0RH19		
HS06502-MONOMER	HS06502	O75874	cytosolic NADP(+)-dependent isocitrate dehydrogenase monomer	
EG10824-MONOMER	EG10824	P08394	exodeoxyribonuclease V subunit RecB	Ior, RorA, RecB
MONOMER-21201	G-80718	H9NN90	steroid C25 dehydrogenase &beta;<sub>3</sub> subunit	
MONOMER-13562	G-10333	Q936T2	NAD(P)H-dependent ferredoxin reductase	IpuA
HS13441-MONOMER	HS13441	Q96HD9	aminoacylase 3 monomer	ACY-3, acylase III, aminoacylase III, HCBP1, hepatitis C virus core-binding protein 1
ROCABACSU-MONOMER	G-278			RocA
MONOMER-16529	G-12788	A9ZND1	xylan 1,3-&beta;-xylosidase monomer	XloA
MONOMER-14048	G-10735	P54990	nitrilotriacetate monooxygenase B subunit	NmoB, NtaB
AT3G22890-MONOMER	AT3G22890	Q9LIK9	ATP sulfurylase	ATP sulfurylase, adenosine-5'-triphosphate-sulfurylase, sulfate adenylyltransferase
TX72_RS01330-MONOMER	TX72_RS01330	Q7U9J0	photosystem II reaction center protein I	PsbI
MONOMER-19155	G-43878	A9CQD3	HSA&alpha; subunit	HRS&alpha; subunit
MONOMER-17058	G-14861	Q53685	oleandomycin glycosyltransferase	OleD
EG12282-MONOMER	EG12282	P37675	2,3-diketo-L-gulonate:Na<sup>+</sup> symporter - membrane subunit	YiaN
MONOMER-21577	G-81098	A0A0A8J6G1	<i>Escherichia coli</i> O:127 antigen repeat unit flippase	
MONOMER-19538	G-44242	P21133	&beta; subunit	AatA
MONOMER-11189	G-8708	Q6QHC2	toluene 3-monooxygenase ferredoxin subunit	TbuB
G6275-MONOMER	G6275	P77731	ureidoglycolate lyase	YbbT, AllA
